"Number","Group","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Publication Species Name","tsn","tsn rank","Wet_Mass","DM/WM","Dry_Mass","Carbon_Mass","MR_original","MR","Temp","MR_25","type_MR","O2 original J/mL","Reference","Source","Comments","Measure","Temp_original","Unit","MR_mL/min","MR_kJ/h","MR_Watt","Mass_mean","SMR","Species2","BMR","dBMR","dMsum","d Scope","Diet Grp","PP Grp","Year","Loc","Original_Source","MR_type"
77,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans","Acris crepitans","173520","Species",1.59,0.3,0.477,0.2385,0.00026553,0.00026553,"15",0.00058671,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",NA,NA,NA,1.935,0.3,0.5805,0.29025,0.0459,NA,"5",0.00124544550009964,"Basal",NA,NA,"White_et_al_2005",NA,NA,5,"mL_O2_h-1",0.000765,0.000918,0.0002550000000204,NA,NA,"Acris crepitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",NA,NA,NA,1.735,0.3,0.5205,0.26025,0.1118,NA,"15",0.00137265555566537,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.00186333333333333,0.002236,0.0006211111111608,NA,NA,"Acris crepitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",NA,NA,NA,1.5,0.3,0.45,0.225,0.1155,NA,"15",0.00141808333344678,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.001925,0.00231,0.000641666666718,NA,NA,"Acris crepitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",NA,NA,NA,0.5,0.3,0.15,0.075,0.0335,NA,"15",0.00041130555558846,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.000558333333333333,0.00067,0.000186111111126,NA,NA,"Acris crepitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",NA,NA,NA,1.27,0.3,0.381,0.1905,0.0838,NA,"15",0.00102887777786009,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.00139666666666667,0.001676,0.0004655555555928,NA,NA,"Acris crepitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",NA,NA,NA,0.9,0.3,0.27,0.135,0.0612,NA,"15",0.000751400000060112,"Basal",NA,NA,"White_et_al_2005",NA,NA,15,"mL_O2_h-1",0.00102,0.001224,0.0003400000000272,NA,NA,"Acris crepitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",NA,NA,NA,1.855,0.3,0.5565,0.27825,0.3288,NA,"25",0.0018266666668128,"Basal",NA,NA,"White_et_al_2005",NA,NA,25,"mL_O2_h-1",0.00548,0.006576,0.0018266666668128,NA,NA,"Acris crepitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Agalychnis","Agalychnis callidryas","Agalychnis callidryas","208130","Species",5.65,0.3,1.695,0.8475,0.00187015,0.00187015,"20",0.0027798,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Amphibians","Eukaryota","Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Agalychnis","Agalychnis callidryas",NA,NA,NA,5.7,0.3,1.71,0.855,0.3477,NA,"20",0.00287162894658675,"Basal",NA,NA,"White_et_al_2005",NA,NA,20,"mL_O2_h-1",0.005795,0.006954,0.0019316666668212,5.674945,1.42287,"Agalychnis callidryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
